Levy,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Category_encoded,Leather_binary,Wheel_binary,Fuel type_Diesel,Fuel type_Hybrid,Fuel type_Hydrogen,Fuel type_LPG,Fuel type_Petrol,Fuel type_Plug-in Hybrid,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator,Drive wheels_fwd,Drive wheels_rwd,Doors_group_le_4
781.0,1991,1.8,234000,4,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1991,2.5,0,4,1,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1991,1.6,10000,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1991,1.8,12648846,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1991,2.0,200000,4,4,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1991,2.5,11111111,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1991,1.3,0,4,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1991,2.0,362000,4,4,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1991,2.5,4911,4,1,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,1.1,0,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1992,3.0,123000,6,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3301.0,1992,4.0,4512,8,11,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1992,1.8,111111,6,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1
781.0,1992,2.5,2582,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,4.2,1000,6,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1
781.0,1992,2.5,111111,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,2.8,1000,6,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1992,2.0,111111,4,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1992,1.8,11111,4,3,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
781.0,1992,1.8,288094,4,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1992,1.8,100000,4,1,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1992,1.8,0,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1992,2.0,300000,6,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1992,2.5,280000,6,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1
781.0,1992,2.3,220000,4,2,9,0,1,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,1.0,262000,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1992,2.5,111111,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
781.0,1992,2.5,0,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,2.5,111111,2,1,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,3.0,555555,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
781.0,1992,3.7,123000,6,0,9,1,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,2.5,1000,4,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,1.5,0,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1992,2.5,11111,4,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1
781.0,1992,2.6,0,6,4,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,1.8,168000,4,2,9,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1992,2.0,256000,6,0,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1992,2.5,111111,4,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1
781.0,1992,2.0,300000,4,4,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1993,4.0,240000,6,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1993,3.0,430000,6,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
781.0,1993,2.0,0,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1993,2.2,450000,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1993,2.8,111000,6,1,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
1452.0,1993,1.7,0,4,0,9,0,0,1,0,0,0,0,0,1,0,0,1,0,1
781.0,1993,1.6,200000,4,1,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1993,1.6,170000,4,2,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1993,3.0,1111,6,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
781.0,1993,4.0,1000,6,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1993,1.8,245000,4,2,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
781.0,1993,1.8,1000,4,2,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1993,1.6,110000,4,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1993,4.2,126000,6,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1
781.0,1993,2.0,111111,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1993,1.9,237580,4,4,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1
781.0,1993,3.2,275652,6,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1993,1.6,120000,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1993,1.6,1000,4,4,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1993,2.0,111111,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
3699.0,1993,4.5,223000,6,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1993,2.0,219529,4,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1993,2.3,111111,4,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,1.9,85000,4,1,9,0,0,1,0,0,0,0,0,1,0,0,1,0,1
781.0,1994,1.8,0,4,4,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1994,2.0,368268,4,4,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,1.4,1111,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,4.0,335000,6,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1994,1.6,0,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,1.6,270000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,3.2,200000,6,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1994,2.8,248000,6,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,2.5,98521,4,6,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,2.5,211433,4,2,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1
781.0,1994,2.5,111000,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,1.6,100000,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1994,2.0,2697,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,1.6,250000,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,2.0,126000,4,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,2.2,0,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,2.5,240000,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,1.8,182000,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,1.6,100000,4,2,3,1,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1994,1.6,0,4,2,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1994,1.8,980087,4,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,2.0,280000,4,12,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,2.5,111111,4,1,9,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,4.0,272000,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
781.0,1994,2.0,1000,6,6,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,1.6,250000,4,2,3,0,1,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,1.6,262000,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,1.6,156788,4,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1994,2.0,111111,6,1,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,2.0,285000,6,4,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,2.8,271000,6,1,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,2.5,100000,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,1.6,30000,4,3,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1994,1.6,308910,4,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1994,2.5,11111,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1994,1.4,21000,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,1.8,555555,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1531.0,1994,1.8,1133,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1994,2.2,270000,4,2,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1994,2.0,0,6,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.8,0,4,4,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
781.0,1995,2.0,350000,6,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.2,50000,3,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.0,0,4,2,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,2.5,410918,2,2,9,0,0,1,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,2.0,32000,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.5,200000,4,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,1
781.0,1995,2.2,444000,4,6,9,1,0,0,0,0,0,1,0,0,0,0,1,0,1
781.0,1995,2.5,300000,6,9,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.5,272000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,1.8,135000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.0,700000,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.5,150000,5,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,2.5,327389,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
3292.0,1995,4.0,173000,8,12,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.5,207888,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2971.0,1995,3.6,150000,6,2,9,1,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1995,1.6,250000,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1995,1.8,1101001,4,1,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,2.5,0,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.8,107000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.5,205000,4,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1
781.0,1995,1.8,200000,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1529.0,1995,1.8,2014,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.5,1958,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
781.0,1995,2.0,1000,4,3,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.8,0,4,2,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
781.0,1995,2.0,1111111,6,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.4,239000,4,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
781.0,1995,2.0,0,4,4,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.8,100000,4,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
781.0,1995,2.5,253442,6,2,9,1,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1995,2.5,111111,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,2.0,0,6,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.8,0,6,4,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1
781.0,1995,2.0,354000,6,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,3.2,213700,6,8,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1
781.0,1995,1.7,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
781.0,1995,1.8,2147483647,4,5,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.0,1300,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,1.8,333333,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,1.6,231000,4,2,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
781.0,1995,1.6,1000,4,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,3.1,177000,6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.6,250000,4,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,1.4,100000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.0,0,4,6,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.4,210000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,1.8,20000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,3.0,0,8,6,9,1,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1995,1.3,2000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,1.8,335000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.4,1111111,4,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1529.0,1995,1.8,0,4,4,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,2.5,30000,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0
781.0,1995,3.5,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
781.0,1995,2.5,500000,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.8,217000,4,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,1.6,12333,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,3.0,100000,6,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.0,58008888,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.8,285000,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.0,554,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.6,1000,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.5,200000,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0
781.0,1995,2.0,300000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1529.0,1995,1.8,999999999,4,4,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,1.5,147000,4,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.3,0,4,2,9,1,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,2.5,275124,4,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1
781.0,1995,3.0,170000,6,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1995,2.0,147000,4,2,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1995,2.5,289200,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1529.0,1995,1.8,61000,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.8,284018,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.0,250000,4,4,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.8,245000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.2,0,4,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.8,260000,4,4,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,1.8,100000,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.9,2000,5,1,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,2.8,2147483647,6,3,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.0,0,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,1.6,250000,4,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,1.8,300000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,2.2,310000,4,4,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.8,46777,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.8,100000,4,1,9,1,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.0,237000,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.8,260000,4,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,1.6,294000,4,4,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.8,18000,4,4,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1995,2.8,151000,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1369.0,1995,1.6,0,4,4,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1995,1.4,0,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.0,234567,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.8,223000,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1995,2.0,150000,4,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,2.0,111111,4,4,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1995,1.5,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1995,1.8,1111111111,5,2,9,0,1,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,2.0,0,4,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1996,1.8,1000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,1.4,280000,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,1.8,260000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.4,111000,4,2,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1996,2.5,888888,4,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1719.0,1996,0.7,60600,3,0,8,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1848.0,1996,2.2,380000,4,4,9,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,1.8,230000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,1.8,0,4,2,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1996,1.6,10000,4,2,10,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.0,240000,4,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1
781.0,1996,1.6,300000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,4.0,14000,8,6,9,1,0,0,0,0,0,0,0,0,1,0,0,1,1
781.0,1996,2.3,4000000,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1
781.0,1996,1.6,157000,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.0,305222,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,1.8,319000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.3,210456,4,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,1.8,442000,4,4,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1368.0,1996,1.6,170000,4,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.0,233000,4,6,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,1.6,0,4,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,4.0,0,8,8,9,1,0,0,0,0,0,1,0,0,1,0,1,0,1
781.0,1996,5.5,180000,8,8,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1996,2.0,23000,4,3,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,1.6,111112,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,1.6,600000,4,2,10,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1996,2.5,270000,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,1.6,1111,4,4,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1688.0,1996,2.0,203658,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.0,777777,4,4,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,1.8,212485,8,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,1.8,260000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.0,44444,6,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,2.8,160000,4,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1
781.0,1996,2.0,111111,4,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1996,4.2,125000,8,12,9,1,0,0,0,0,1,0,0,0,0,0,0,1,1
781.0,1996,1.8,280000,4,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,2.5,11000,4,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,1.6,304000,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,1.8,290000,6,4,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
781.0,1996,1.2,111000,4,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.4,198000,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
781.0,1996,1.8,32585,4,4,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.0,0,4,4,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,2.5,123000,4,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,2.8,215852,8,15,4,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,2.0,177777,4,4,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,2.3,310000,4,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,3.2,224643,6,6,9,1,0,0,0,0,0,0,0,1,0,0,0,1,1
781.0,1996,2.0,30000,4,2,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1368.0,1996,1.6,3445,4,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.0,0,4,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1
781.0,1996,1.6,0,4,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1996,1.3,276000,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,2.5,200000,4,0,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1528.0,1996,1.8,283000,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1996,1.3,75000,4,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1996,2.5,0,6,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1
